country,ccode,lps,inflexec,instaut,specpow,instcap,replace_ex,serve_min,interpellate,investigate,oversee_pol,appoint_pm,appoint_min,lack_pres,no_conf,no_diss,no_decree,no_veto,no_review,no_gate,no_impound,cont_resor,immunity,elected,amend,war,treaty,amnesty,pardon,judiciary,bank,media,sessions,secretary,staff,no_limit,seek_reelect,experience
Afghanistan,700,12,2,4,3,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0
Albania,339,24,8,7,5,4,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1
Algeria,615,8,1,2,1,4,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
Angola,540,14,2,3,6,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
Argentina,160,16,3,5,4,4,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0
Armenia,371,18,3,5,6,4,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
Australia,900,20,8,6,0,6,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Austria,305,23,5,7,6,5,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
Azerbaijan,373,14,1,5,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1
Bahrain,692,6,2,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0
Bangladesh,771,19,8,4,3,4,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
Belarus,370,8,2,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
Belgium,211,24,8,6,5,5,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
