,DispNum3,IncidNum3,DispNum4,IncidNum4,country,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,InSide.A,SideA,Fatality,FatalPre,Action,HostLev,RevType1,RevType2,Version
863,4054,4054001,-9,-9,Afghanistan,AFG,700,3,3,1993,3,3,1993,0,0,0,0,0,1,0,0,4.01
870,4054,4054002,-9,-9,Afghanistan,AFG,700,-9,4,1993,-9,4,1993,0,0,0,0,0,1,0,0,4.01
873,4054,4054003,-9,-9,Afghanistan,AFG,700,8,4,1993,8,4,1993,0,0,0,0,0,1,0,0,4.01
875,4054,4054004,-9,-9,Afghanistan,AFG,700,29,5,1993,29,5,1993,0,0,0,0,0,1,0,0,4.01
878,4054,4054005,-9,-9,Afghanistan,AFG,700,-9,7,1993,-9,7,1993,0,0,-9,-9,0,1,0,0,4.01
880,4054,4054006,-9,-9,Afghanistan,AFG,700,12,7,1993,22,7,1993,0,0,-9,-9,0,1,0,0,4.01
883,4054,4054007,-9,-9,Afghanistan,AFG,700,13,7,1993,13,7,1993,1,0,1,-9,17,4,2,0,4.01
885,4054,4054008,-9,-9,Afghanistan,AFG,700,13,7,1993,13,7,1993,1,0,1,-9,17,4,2,0,4.01
886,4054,4054009,-9,-9,Afghanistan,AFG,700,17,7,1993,18,7,1993,0,0,-9,-9,0,1,0,0,4.01
888,4054,4054010,-9,-9,Afghanistan,AFG,700,17,7,1993,18,7,1993,0,0,0,0,0,1,0,0,4.01
890,4054,4054011,-9,-9,Afghanistan,AFG,700,28,7,1993,4,8,1993,0,0,-9,-9,0,1,0,0,4.01
892,4054,4054012,-9,-9,Afghanistan,AFG,700,28,7,1993,28,7,1993,0,0,-9,-9,0,1,0,0,4.01
895,4054,4054013,-9,-9,Afghanistan,AFG,700,28,7,1993,28,7,1993,1,0,0,0,1,2,2,1,4.01
896,4054,4054015,-9,-9,Afghanistan,AFG,700,31,7,1993,1,8,1993,0,0,-9,-9,0,1,0,0,4.01
898,4054,4054016,-9,-9,Afghanistan,AFG,700,3,8,1993,3,8,1993,0,0,-9,-9,0,1,0,0,4.01
900,4054,4054018,-9,-9,Afghanistan,AFG,700,7,8,1993,7,8,1993,0,0,0,0,0,1,0,0,4.01
907,4054,4054019,-9,-9,Afghanistan,AFG,700,7,8,1993,7,8,1993,0,0,0,0,0,1,0,0,4.01
913,4054,4054020,-9,-9,Afghanistan,AFG,700,13,8,1993,13,8,1993,1,0,0,0,4,2,2,0,4.01
914,4054,4054021,-9,-9,Afghanistan,AFG,700,7,10,1993,7,10,1993,0,0,0,0,0,1,0,0,4.01
920,4054,4054022,-9,-9,Afghanistan,AFG,700,21,2,1994,21,2,1994,0,0,0,0,0,1,0,0,4.01
922,4054,4054023,-9,-9,Afghanistan,AFG,700,21,2,1994,21,2,1994,0,0,0,0,0,1,0,0,4.01
924,4055,4055001,-9,-9,Afghanistan,AFG,700,31,12,1994,1,1,1995,0,0,0,0,0,1,0,0,4.01
926,4055,4055002,-9,-9,Afghanistan,AFG,700,9,1,1995,9,1,1995,0,0,0,0,0,1,0,0,4.01
928,4055,4055003,-9,-9,Afghanistan,AFG,700,9,4,1995,11,4,1995,0,0,0,0,0,1,0,0,4.01
930,4055,4055004,-9,-9,Afghanistan,AFG,700,10,4,1995,10,4,1995,0,0,0,0,0,1,0,0,4.01
932,4055,4055005,-9,-9,Afghanistan,AFG,700,13,4,1995,13,4,1995,0,0,0,0,0,1,0,0,4.01
934,4055,4055006,-9,-9,Afghanistan,AFG,700,20,4,1995,20,4,1995,0,0,0,0,0,1,0,0,4.01
936,4055,4055007,-9,-9,Afghanistan,AFG,700,22,4,1995,22,4,1995,0,0,0,0,0,1,0,0,4.01
938,4055,4055008,-9,-9,Afghanistan,AFG,700,-9,5,1995,-9,5,1995,0,0,0,0,0,1,0,0,4.01
2324,4159,4159001,-9,-9,Afghanistan,AFG,700,5,9,1995,5,9,1995,0,0,0,0,0,1,0,0,4.01
