country,Country Code,Series Name,Series Code,milSpending_2007,milSpending_2008,milSpending_2009
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.566267832,2.335547143,2.08741267
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.820765344,1.984868857,1.51721714
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.923321027,3.024747141,3.848513698
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.114054493,3.573120381,4.704388625
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.792548175,0.762756475,0.886508577
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.042574701,3.395579363,4.157049908
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.814599669,1.797239012,1.929179691
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.90565864,0.876168945,0.838784296
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.864194919,3.291211146,3.325421682
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.956984938,2.80016462,3.610530652
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.114480186,1.059529893,1.156730939
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.649765914,1.453490612,1.372578979
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.094533714,1.213897974,1.160040254
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.066140405,1.367605852,1.291561951
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,0.975750986,..
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.686580784,1.962268215,1.994101555
Bosnia-Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.186949003,1.221333095,1.377618913
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.801455193,3.036968238,3.215590561
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.46629207,1.441924069,1.538625706
British Virgin Islands,VGB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.638365189,2.514964776,3.258846929
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.324152275,1.907749062,1.856522972
Burkina Faso (Upper Volta),BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.592267582,1.397903771,1.521454726
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.414595248,2.720890527,..
Cabo Verde,CPV,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.524701986,0.601270991,0.490877913
Cambodia,KHM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.914612028,0.798217508,1.313128967
Cameroon,CMR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.452144972,1.486073738,1.468117481
Canada,CAN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.188901783,1.248621382,1.381043981
Cayman Islands,CYM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Central African Republic,CAF,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.064860884,1.49177304,1.713389546
Chad,TCD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.504613304,5.906335613,7.985078043
Channel Islands,CHI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..
Chile,CHL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.317015138,2.584010483,2.263607888
