Series Name,Series Code,country,Country Code,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,178.7278286,196.2033073,225.8024087,245.1504347,331.3311468,331.2333936,395.5745372,486.9881116,535.3402774,590.4674934,559.2339402,548.5370949,494.3016296,489.7847414,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,1784.39647,2274.730598,2535.164806,2838.874385,3343.591615,3961.319155,3622.890286,3530.054028,3850.766176,3641.192766,3866.501647,3937.222372,3458.725714,3606.903851,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,1678.277605,2031.088981,2289.3062,2555.159283,3022.933804,3767.579583,3121.216402,3644.312028,4312.861225,4418.975672,4350.827761,4342.420307,3396.913441,3104.118296,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,267.7905839,281.2759143,226.4059786,453.7575313,629.2704433,251.732843,902.6093382,1095.241414,1217.678006,1486.53816,1854.945538,2090.854918,2062.99344,1777.44841,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,2623.057437,3412.951267,4170.523921,4867.422377,6076.359978,7546.595522,6922.963679,8751.992106,10930.02742,11189.26628,11216.58141,10536.78314,11728.03506,10729.86488,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,815.8932442,1047.910412,1475.618612,1959.619521,2886.462806,3741.633093,2723.483014,2918.110539,3143.545827,3280.341004,3514.236835,3589.730537,3173.764425,3087.80998,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Australia,AUS,18733.2653,24188.98334,26373.8515,27718.12127,30947.38261,37468.94844,33066.27603,39898.81568,47596.45431,52383.77787,52646.40155,47779.62345,44026.95589,38859.32258,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Austria,AUT,26670.99073,30566.14259,31853.4044,33972.02796,39120.49479,43481.22452,39513.90033,39008.18009,42588.85128,39997.00016,41697.6759,42397.79623,35926.94511,36635.90191,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Azerbaijan,AZE,643.9447026,738.0923032,944.2377909,1322.077303,2048.954751,3307.213068,3405.003948,3920.787338,4639.036392,5151.252263,5774.793989,6106.651009,4478.772902,2874.761195,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,"Bahamas, The",BHS,20257.47894,20243.10041,21332.29232,21434.33563,22010.29822,21739.26845,20039.73021,19702.64889,19385.31679,26250.40882,25507.69552,25175.36885,25421.23455,24603.44141,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bahrain,BHR,11896.05093,13356.98194,15457.08645,16666.04746,18387.62578,19699.67369,15398.51324,16772.50217,17231.37658,17800.8709,18595.28324,17677.63418,19133.78273,18906.70514,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bangladesh,BGD,413.5135713,441.9128798,463.649568,472.5038319,521.8356013,601.6744913,669.6691423,745.5683099,819.295655,844.3153987,936.8745548,1052.568076,1173.701486,1310.147752,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Barbados,BRB,10465.69543,11067.64106,12077.47655,12896.56375,13843.19969,13945.35463,13526.96527,13796.18079,13598.25827,13943.50754,13827.85988,13770.25978,13618.16642,13396.92647,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belarus,BLR,1613.540029,2124.235399,2795.051735,3429.683697,4205.745094,5684.19513,4561.687932,5364.951313,5802.182087,6169.451771,7005.548989,7335.552642,5170.602471,4297.007633,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belgium,BEL,25914.54229,29889.28005,30897.31463,32397.5374,36996.74767,40502.6465,36229.76261,37235.18674,38914.50255,37016.7462,38156.63714,38455.06984,32465.9008,33307.82187,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Belize,BLZ,2811.262583,2849.352001,2944.456038,3038.585775,3010.324122,3006.606998,3131.311036,2984.17016,3220.028656,3386.519104,3435.408215,3616.47032,3799.852311,3676.390327,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Benin,BEN,440.6639937,498.0926034,517.4235682,534.0922979,598.251976,697.5054499,668.8030935,637.3324269,697.1910401,702.2339721,765.8471086,789.7306315,655.3282937,656.8480076,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bhutan,BTN,884.7040507,974.2946459,1119.245565,1204.108241,1537.661603,1561.28301,1521.717516,1819.062355,2045.177633,1991.577434,1963.039645,2090.299449,2111.908139,2199.245689,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bolivia,BOL,797.0955824,819.0718612,846.4411293,961.7265486,1063.340964,1379.241132,1452.926703,1588.682051,1833.53147,1985.488624,2210.85072,2355.333949,2484.49573,2528.416882,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bosnia-Herzegovina,BIH,2197.431468,2559.1524,2826.941838,3188.464362,3823.543667,4665.769962,4316.488722,4106.108982,4402.58328,4068.267369,4416.739575,4520.222856,3968.588752,4130.211149,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Botswana,BWA,2977.459351,3401.097102,3879.613731,3761.713166,3977.023927,3927.337842,3590.181833,4584.725307,5998.170866,5477.9511,5266.123678,5683.762088,5054.856567,5319.268914,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brazil,BRA,2537.941442,2992.162371,3926.943416,4806.548114,5959.909673,7074.714332,7067.617545,9348.34907,10958.89728,10326.03682,10403.02574,10151.54307,7460.856524,7352.156644,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Brunei,BRN,14237.76728,16314.50432,18309.94182,21457.76028,24708.07224,28210.66203,22196.89945,26986.31109,32317.71757,33825.00956,33921.88585,32949.55001,27860.13618,24809.20786,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Bulgaria,BGR,2357.318871,2924.887065,3318.319867,3704.607827,4634.186657,5974.134123,5802.643819,5580.350044,6348.5047,6166.983226,6391.005104,6563.615172,5797.339762,6326.075104,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burkina Faso (Upper Volta),BFA,302.797157,333.0532679,360.5943472,372.3292803,411.5941779,484.388182,460.7097828,454.6326324,500.947465,517.3814354,541.5344086,534.5250763,414.9702197,455.1429818,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Burundi,BDI,47.89412899,65.39179479,84.44038286,101.478384,90.89441984,104.2494517,114.0856727,146.8217194,166.0249831,190.1259639,205.5235575,232.1525767,217.507403,201.7006078,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cabo Verde,CPV,1449.61899,1619.494656,1617.736908,1793.656823,2488.565294,2867.653941,2682.417536,2504.829928,2790.987746,2540.035238,2585.151965,2602.397711,2201.208052,2178.452293,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cambodia,KHM,317.6004532,354.6120302,413.0664983,467.0986549,547.5172646,639.2259931,622.133658,660.5672392,742.8323291,801.2540333,867.1091008,915.8701657,968.7968726,1055.949382,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cameroon,CMR,734.5373578,861.4965324,843.1374587,890.6815487,986.6790814,1109.900387,1132.438228,1083.684185,1166.297325,1112.605904,1206.355205,1299.661555,1141.000777,1147.990182,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Canada,CAN,22739.42628,25719.14715,29198.05569,32738.2629,36144.48122,37446.48609,32755.17682,38420.52289,42334.71121,42665.25597,42676.46837,41039.8936,35175.18898,34229.19363,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Central African Republic,CAF,266.1884271,289.8118616,301.2658002,322.8337751,366.6922185,416.4112721,409.3522569,405.9188569,444.8297818,427.9366389,275.792659,313.5274499,281.7643892,299.1270511,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Chad,TCD,206.2033918,224.0344199,352.2797019,383.5744289,465.3153107,517.6730597,615.3012173,675.5592318,702.3839406,712.9833794,739.107343,777.6412848,632.9482889,535.6767783,..
