Series Name,Series Code,country,Country Code,tech2003,tech2004,tech2005,tech2006,tech2007,tech2008,tech2009,tech2010,tech2011,tech2012,tech2013,tech2014,tech2015,tech2016,tech2017
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Afghanistan,AFG,0.867120278,2.487667492,4.78644517,9.733604444,17.53816162,28.94006019,37.49420045,35.46776644,46.44405817,49.972753,52.96647314,56.19133269,58.42052823,62.33541682,67.3505726
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Albania,ALB,35.35834883,40.6614872,49.69649377,62.53038718,76.80249426,62.16072664,83.16046357,91.56092875,105.9228287,119.8614128,126.2764913,115.0261146,116.3375126,115.1522649,119.3763401
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Algeria,DZA,4.465339778,14.87130981,41.03934048,62.16474285,80.35760912,77.54135852,92.28569753,90.75943977,96.73099824,99.89846096,103.0738842,110.6993263,108.4173223,115.8480539,120.7057883
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,American Samoa,ASM,3.552277687,3.796571274,..,..,..,..,..,..,..,..,..,..,..,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Andorra,AND,70.90951327,76.5515975,81.8593328,85.19959008,76.80297038,76.55763704,76.42371717,77.5556845,77.66355029,77.47692009,79.13427737,83.61334461,91.43999795,98.513218,104.3812122
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Angola,AGO,1.922721008,3.922459132,8.239941385,15.07531265,23.62896447,31.12838486,35.9626781,40.23840253,49.85108738,50.94450344,51.10017793,52.20027766,49.83804154,45.12169884,44.73497738
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Antigua and Barbuda,ATG,52.81064919,61.1849485,96.35530458,122.0108304,122.9807071,147.7021562,144.1799083,177.4437202,183.8798985,131.6232163,116.9017828,121.4068268,176.1356244,178.2831334,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Argentina,ARG,20.47079124,34.88984757,56.60020383,79.65438363,101.0796712,115.1709326,128.6361343,138.4689785,145.7687913,152.8090976,158.3489275,142.4663975,142.4348098,145.3305063,139.8146002
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Armenia,ARM,3.790137603,6.775584447,10.66811035,42.58110529,63.97460533,49.58359409,75.86762234,134.3391104,111.6718674,115.2993384,115.6476444,119.0252975,118.7709765,117.428481,119.0439694
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Aruba,ABW,72.10282734,99.64754854,103.3849507,108.1303554,112.2169532,119.1933145,126.1667964,129.636369,..,131.6084502,134.5130685,134.5922251,135.13384,..,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Australia,AUS,72.83860687,82.61302181,91.012838,96.04538942,101.4958754,103.6429999,102.1204248,101.7176081,105.8238999,106.6434188,107.728789,106.7533735,108.2793309,110.0520902,112.6886209
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Austria,AUT,88.96932087,97.26408257,104.9838556,112.0253092,119.2523915,129.7123099,136.6063093,145.5537959,153.9336566,159.5294796,154.7253124,150.0321433,155.2155247,163.7944858,170.8479228
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Azerbaijan,AZE,12.64268165,17.23923946,26.25721341,38.51013795,51.79782823,74.22430613,86.92028501,100.7490321,110.6460272,109.2853827,107.9359163,111.0350828,111.2258882,104.7671576,103.0466374
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,"Bahamas, The",BHS,38.71086253,57.67193963,69.17894967,75.33186434,109.2516534,102.6884558,101.1148184,118.7192378,81.51011545,80.63670744,76.07888877,82.38292483,80.44064957,92.06813349,89.42207249
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bahrain,BHR,56.90288181,78.2991584,86.27199809,94.68069123,107.7313154,129.2656493,118.3071469,126.2831806,132.4955858,163.349887,168.0227701,174.2741117,183.6239982,210.140748,158.4150038
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bangladesh,BGD,0.981880168,1.968444857,6.274789733,13.16038088,23.35883443,29.99882787,34.13606372,44.64297594,54.81622359,62.40405769,73.96847136,79.58713274,81.49814015,83.44924467,88.12405929
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Barbados,BRB,51.42181313,73.28619398,75.24935312,86.21286436,93.28118776,104.0902354,121.0403275,125.2145266,123.9899359,124.0463803,108.9197158,107.7883445,117.7945021,116.5658465,118.2248993
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belarus,BLR,11.47837579,23.14053609,42.60751108,62.24515128,72.9799649,85.49192197,102.107906,109.0765603,112.9524212,112.7193343,117.254509,120.211978,120.688975,120.6731574,120.5611904
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belgium,BEL,82.59725088,87.13361692,91.0666428,92.72859242,100.3765809,105.2186842,108.424729,111.110074,113.4644495,111.0959485,110.435401,113.5087018,113.1658212,110.4983466,104.6525275
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Belize,BLZ,22.44380039,27.16515327,33.88909089,40.58511352,39.64853371,52.26985449,51.5349012,60.38438099,67.56148388,51.20953012,50.73348035,48.9914528,58.99055911,61.86061468,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Benin,BEN,3.140393229,5.926732425,7.469934761,12.84824586,24.26761348,41.68565041,56.27182157,76.90743352,82.07767164,86.41903309,96.2316373,84.19047797,88.1051181,81.7903446,78.50112548
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Bermuda,BMU,61.66178511,75.30930608,80.94580071,92.37200867,106.3305184,122.2437137,132.1866787,137.9073113,..,144.0352016,150.2286088,95.36565035,61.28735706,103.6081471,105.9463072
