,x
1,Albania
2,Algeria
3,Angola
4,Argentina
5,Armenia
6,Australia
7,Austria
8,Azerbaijan
9,Bahrain
10,Bangladesh
11,Belgium
12,Benin
13,Bolivia
14,Bosnia-Herzegovina
15,Botswana
16,Brazil
17,Bulgaria
18,Burkina Faso (Upper Volta)
19,Burundi
20,Cameroon
21,Canada
22,Central African Republic
23,Chad
24,Chile
25,China
26,Colombia
27,Congo
28,"Congo, Democratic Republic Of (Zaire)"
29,Costa Rica
30,Cote D'Ivoire
31,Croatia
32,Cyprus
33,Czech Republic
34,Denmark
35,Dominican Republic
36,Ecuador
37,Egypt
38,El Salvador
39,Estonia
40,Ethiopia
41,Fiji
42,Finland
43,France
44,Gabon
45,Georgia
46,German Federal Republic
47,Ghana
48,Greece
49,Guatemala
50,Guinea-Bissau
51,Guyana
52,Haiti
53,Honduras
54,Hungary
55,India
56,Indonesia
57,Iran (Persia)
58,Ireland
59,Italy/Sardinia
60,Jamaica
61,Japan
62,Jordan
63,Kazakhstan
64,Kenya
65,"Korea, Republic Of"
66,Kuwait
67,Kyrgyz Republic
68,Latvia
69,Lesotho
70,Lithuania
71,Macedonia (Former Yugoslav Republic Of)
72,Madagascar (Malagasy)
73,Malawi
74,Malaysia
75,Mali
76,Mauritania
77,Mauritius
78,Mexico
79,Moldova
80,Mongolia
81,Morocco
82,Mozambique
83,Namibia
84,Nepal
85,Netherlands
86,New Zealand
87,Nicaragua
88,Niger
89,Nigeria
90,Norway
91,Oman
92,Pakistan
93,Panama
94,Paraguay
95,Peru
96,Philippines
97,Poland
98,Portugal
99,Romania
100,Russia (Soviet Union)
101,Rwanda
102,Senegal
103,Sierra Leone
104,Singapore
105,Slovakia
106,Slovenia
107,South Africa
108,Spain
109,Sri Lanka (Ceylon)
110,Sweden
111,Switzerland
112,Syria
113,Tanzania/Tanganyika
114,Thailand
115,Togo
116,Trinidad And Tobago
117,Tunisia
118,Turkey/Ottoman Empire
119,Uganda
120,Ukraine
121,United Arab Emirates
122,United Kingdom
123,United States Of America
124,Uruguay
125,Venezuela
126,"Vietnam, Democratic Republic Of"
127,Yugoslavia (Serbia)
128,Zambia
