country,year
Albania,1998
Algeria,1996
Angola,1975
Argentina,1983
Armenia,1995
Australia,1901
Austria,1945
Azerbaijan,1995
Bahrain,2002
Bangladesh,1986
Belgium,1831
Benin,1990
Bolivia,1967
Bosnia-Herzegovina,1995
Botswana,1966
Brazil,1988
Bulgaria,1991
Burkina Faso (Upper Volta),1991
Burundi,2005
Cameroon,1972
Canada,1867
Central African Republic,2004
Chad,1996
Chile,1980
China,1982
Colombia,1991
Congo,2001
"Congo, Democratic Republic Of (Zaire)",2005
Costa Rica,1949
Cote D'Ivoire,2000
Croatia,1991
Cyprus,1960
Czech Republic,1993
Denmark,1953
Dominican Republic,2002
Ecuador,2008
Egypt,1971
El Salvador,1983
Estonia,1992
Ethiopia,1994
Fiji,1997
Finland,1999
France,1958
Gabon,1991
Georgia,1995
German Federal Republic,1949
Ghana,1992
Greece,1975
Guatemala,1985
Guinea-Bissau,1984
Guyana,1980
Haiti,1987
Honduras,1982
Hungary,1949
India,1949
Indonesia,1959
Iran (Persia),1979
Ireland,1937
Italy/Sardinia,1947
Jamaica,1962
Japan,1946
Jordan,1952
Kazakhstan,1995
Kenya,1963
"Korea, Republic Of",1948
Kuwait,1992
Kyrgyz Republic,2007
Latvia,1991
Lesotho,1993
Lithuania,1992
Macedonia (Former Yugoslav Republic Of),1991
Madagascar (Malagasy),1998
Malawi,1994
Malaysia,1957
Mali,1992
Mauritania,1991
Mauritius,1968
Mexico,1917
Moldova,1994
Mongolia,1992
Morocco,1972
Mozambique,2004
Namibia,1990
Nepal,2006
Netherlands,1815
New Zealand,1852
Nicaragua,1987
Niger,1999
Nigeria,1999
Norway,1814
Oman,1996
Pakistan,2002
Panama,1972
Paraguay,1992
Peru,1993
Philippines,1987
Poland,1997
Portugal,1976
Romania,1991
Russia (Soviet Union),1993
Rwanda,2003
Senegal,2001
Sierra Leone,1996
Singapore,1963
Slovakia,1992
Slovenia,1991
South Africa,1996
Spain,1978
Sri Lanka (Ceylon),1978
Sweden,1974
Switzerland,1999
Syria,1973
Tanzania/Tanganyika,1977
Thailand,2007
Togo,1992
Trinidad And Tobago,1976
Tunisia,1959
Turkey/Ottoman Empire,1982
Uganda,1995
Ukraine,1996
United Arab Emirates,1971
United Kingdom,1215
United States Of America,1789
Uruguay,1985
Venezuela,1999
"Vietnam, Democratic Republic Of",1992
Yugoslavia (Serbia),2006
Zambia,1991
Zimbabwe (Rhodesia),1979
