"","x"
"1","Afghanistan"
"2","Angola"
"3","Albania"
"4","United Arab Emirates"
"5","Argentina"
"6","Armenia"
"7","Australia"
"8","Austria"
"9","Azerbaijan"
"10","Burundi"
"11","Belgium"
"12","Benin"
"13","Burkina Faso (Upper Volta)"
"14","Bangladesh"
"15","Bulgaria"
"16","Bahrain"
"17","Bosnia-Herzegovina"
"18","Belarus"
"19","Bolivia"
"20","Brazil"
"21","Barbados"
"22","Bhutan"
"23","Botswana"
"24","Central African Republic"
"25","Canada"
"26","Switzerland"
"27","Chile"
"28","China"
"29","Cote D'Ivoire"
"30","Cameroon"
"31","Congo, Democratic Republic Of (Zaire)"
"32","Congo"
"33","Colombia"
"34","Comoros"
"35","Cape Verde"
"36","Costa Rica"
"37","Cuba"
"38","Cyprus"
"39","Czech Republic"
"40","German Federal Republic"
"41","Djibouti"
"42","Denmark"
"43","Dominican Republic"
"44","Algeria"
"45","Ecuador"
"46","Egypt"
"47","Eritrea"
"48","Spain"
"49","Estonia"
"50","Ethiopia"
"51","Finland"
"52","Fiji"
"53","France"
"54","Gabon"
"55","United Kingdom"
"56","Georgia"
"57","Ghana"
"58","Guinea"
"59","Gambia"
"60","Guinea-Bissau"
"61","Equatorial Guinea"
"62","Greece"
"63","Guatemala"
"64","Guyana"
"65","Hong Kong"
"66","Honduras"
"67","Croatia"
"68","Haiti"
"69","Hungary"
"70","Indonesia"
"71","India"
"72","Ireland"
"73","Iran (Persia)"
"74","Iraq"
"75","Iceland"
"76","Israel"
"77","Italy/Sardinia"
"78","Jamaica"
"79","Jordan"
"80","Japan"
"81","Kazakhstan"
"82","Kenya"
"83","Kyrgyz Republic"
"84","Cambodia"
"85","Korea, Republic Of"
"86","Kuwait"
"87","Laos"
"88","Lebanon"
"89","Liberia"
"90","Libya"
"91","Sri Lanka (Ceylon)"
"92","Lesotho"
"93","Lithuania"
"94","Luxembourg"
"95","Latvia"
"96","Morocco"
"97","Moldova"
"98","Madagascar (Malagasy)"
"99","Maldives"
"100","Mexico"
"101","Macedonia (Former Yugoslav Republic Of)"
"102","Mali"
"103","Myanmar (Burma)"
"104","Montenegro"
"105","Mongolia"
"106","Mozambique"
"107","Mauritania"
"108","Mauritius"
"109","Malawi"
"110","Malaysia"
"111","Namibia"
"112","Niger"
"113","Nigeria"
"114","Nicaragua"
"115","Netherlands"
"116","Norway"
"117","Nepal"
"118","New Zealand"
"119","Oman"
"120","Pakistan"
"121","Panama"
"122","Peru"
"123","Philippines"
"124","Papua New Guinea"
"125","Poland"
"126","North Korea"
"127","Portugal"
"128","Paraguay"
"129","Palestine/West Bank"
"130","Palestine/Gaza"
"131","Qatar"
"132","Romania"
"133","Russia (Soviet Union)"
"134","Rwanda"
"135","Saudi Arabia"
"136","Sudan"
"137","Senegal"
"138","Singapore"
"139","Solomon Islands"
"140","Sierra Leone"
"141","El Salvador"
"142","Somaliland"
"143","Somalia"
"144","Yugoslavia (Serbia)"
"145","São Tomé and Príncipe"
"146","Suriname"
"147","Slovakia"
"148","Slovenia"
"149","Sweden"
"150","Swaziland"
"151","Seychelles"
"152","Syria"
"153","Chad"
"154","Togo"
"155","Thailand"
"156","Tajikistan"
"157","Turkmenistan"
"158","Timor-Leste"
"159","Trinidad And Tobago"
"160","Tunisia"
"161","Turkey/Ottoman Empire"
"162","Taiwan"
"163","Tanzania/Tanganyika"
"164","Uganda"
"165","Ukraine"
"166","Uruguay"
"167","United States Of America"
"168","Uzbekistan"
"169","Venezuela"
"170","Vietnam, Democratic Republic Of"
"171","Vanuatu"
"172","Kosovo"
"173","Yemen"
"174","South Africa"
"175","Zambia"
"176","Zimbabwe (Rhodesia)"
"177","Zanzibar"
