country,ex_bank
Albania,0.5
Algeria,1
Angola,1
Argentina,0.5
Armenia,0.5
Australia,1
Austria,1
Azerbaijan,0.5
Bahrain,1
Bangladesh,1
Belgium,1
Benin,0
Bolivia,1
Bosnia-Herzegovina,0
Botswana,1
Brazil,0.5
Bulgaria,0
Burkina Faso (Upper Volta),0
Burundi,1
Cameroon,0
Canada,1
Central African Republic,0
Chad,0
Chile,1
China,0.5
Colombia,0
Congo,0
"Congo, Democratic Republic Of (Zaire)",1
Costa Rica,1
Cote D'Ivoire,0
Croatia,0
Cyprus,1
Czech Republic,1
Denmark,0.5
Dominican Republic,1
Ecuador,0
Egypt,1
El Salvador,1
Estonia,1
Ethiopia,1
Fiji,0
Finland,0.5
France,1
Gabon,0
Georgia,1
German Federal Republic,0.5
Ghana,1
Greece,0
Guatemala,1
Guinea-Bissau,0
Guyana,1
Haiti,1
Honduras,1
Hungary,1
India,1
Indonesia,1
Iran (Persia),0.5
Ireland,0.5
Italy/Sardinia,0.5
Jamaica,1
Japan,0.5
Jordan,1
Kazakhstan,0.5
Kenya,1
"Korea, Republic Of",1
Kuwait,1
Kyrgyz Republic,0.5
Latvia,0
Lesotho,1
Lithuania,0.5
Macedonia (Former Yugoslav Republic Of),0.5
Madagascar (Malagasy),1
Malawi,1
Malaysia,1
Mali,0
Mauritania,1
Mauritius,1
Mexico,1
Moldova,0
Mongolia,0
Morocco,1
Mozambique,1
Namibia,1
Nepal,1
Netherlands,1
New Zealand,1
Nicaragua,1
Niger,0
Nigeria,1
Norway,1
Oman,1
Pakistan,1
Panama,1
Paraguay,0.5
Peru,0.5
Philippines,1
Poland,0.5
Portugal,1
Romania,0
Russia (Soviet Union),0.5
Rwanda,1
Senegal,0
Sierra Leone,1
Singapore,1
Slovakia,1
Slovenia,0
South Africa,1
Spain,0
Sri Lanka (Ceylon),1
Sweden,0
Switzerland,1
Syria,1
Tanzania/Tanganyika,1
Thailand,1
Togo,0
Trinidad And Tobago,1
Tunisia,1
Turkey/Ottoman Empire,1
Uganda,0.5
Ukraine,0.5
United Arab Emirates,1
United Kingdom,1
United States Of America,0.5
Uruguay,0.5
Venezuela,1
"Vietnam, Democratic Republic Of",1
Yugoslavia (Serbia),0
Zambia,1
