"","country","continent","leg_pow","ex_pow","jud_pow","leg_share","ex_share","jud_share","SPI_index","freedom_vdem","num_rights","dummy_freexp","replace_ex","serve_min","interpellate","investigate","oversee_pol","appoint_pm","appoint_min","lack_pres","no_conf","no_diss","no_decree","no_veto","no_review","no_gate","no_impound","cont_resor","immunity","elected","amend","war","treaty","amnesty","pardon","judiciary","bank","media","sessions","secretary","staff","no_limit","seek_reelect","experience","jscore_1","jscore_2","jscore_3","jscore_4","jscore_5","jscore_6","jscore_7","jscore_8","jscore_9","jscore_10","escore_1","escore_2","escore_3","escore_4","escore_5","escore_6","escore_7","escore_8","escore_9","log_vdem","con_age","mil_spend","nat_inc","gender_development","gender_inequality","brit_col","chrst_pct","islm_pct","jud_pct","bud_pct","rel_dom","mil_events","gini_index","polity","dummy_eu","dummy_am"
"1","Albania","Europe",0.779497517,0.5,0.668,0.400255974755114,0.256739736834283,0.343004288410602,0.125,0.833063262281994,70,1,0.036001665,0.020708647,0.035832422,0.038494086,0,0.032693817,0.030709109,0.024693446,0.034832379,0,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.75,0.33,0.33,0.6,0,1,1,1,1,0.67,0.5,0.5,0.5,0.5,0.5,0,0,1,1,-1.79014035439416,10,1.984868857,3961.319155,0.958,0.273,0,0.2665,0.6148,1e-04,0,FALSE,0,38.5,9,1,0
"2","Algeria","Africa",0.372309498,0.667,0.467,0.247166666939519,0.442804085671376,0.310029247389105,0.173,0.67720005116846,35,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0,0,0.036217058,0.033632321,0,0.024154961,0,0,0,0.034001569,0,0,0,0,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,1,0.67,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,-1.13072250110079,12,3.024747141,3767.579583,0.835,0.528,0,0.008,0.99,0,0,TRUE,0,33.1,2,0,0
"3","Angola","Africa",0.476606612,0.722,0.488,0.282583151642477,0.42807848306953,0.289338365287993,0.142,0.407581340659491,47,1,0,0,0.035832422,0.038494086,0,0,0,0,0.034832379,0,0,0,0,0,0.033632321,0,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0.018600857,0.029985998,0,0,0.035893966,0,0,0.032186099,0.033816947,0,0.88,0.33,0.67,0,1,1,0,0,1,0,1,0.5,0,0.5,1,1,1,0.5,1,-0.523541699210623,33,3.573120381,251.732843,NA,NA,0,0.9044,0.0105,0,1e-04,TRUE,0,47.2,-2,0,0
"4","Argentina","Americas",0.52465498,0.611,0.454,0.330043302855567,0.384360133291313,0.28559656385312,0.086,0.907996229279369,49,1,0.036001665,0,0.035832422,0.038494086,0,0,0,0,0,0.036478606,0,0,0,0.036217058,0,0.03629398,0.024154961,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0,0.035893966,0.025785805,0.030832191,0.032186099,0,0,0.88,0.33,0.33,1,1,0,1,0,0,0,1,0.5,0.5,1,0.5,0,1,0.5,0.5,-2.38592571667919,25,0.762756475,7546.595522,0.995,0.374,0,0.8454,0.0155,0.011,2e-04,TRUE,0,41.3,8,0,1
"5","Armenia","Asia",0.612089789,0.556,0.379,0.395639473126921,0.35938444164859,0.244976085224489,0.136,0.559508775378884,78,1,0,0,0.035832422,0,0.035647801,0,0,0,0.034832379,0,0,0.03703248,0,0.036217058,0.033632321,0.03629398,0.024154961,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0.029985998,0.023262612,0.023554932,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.62,0,0.67,0,1,0.5,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,-0.819864755209295,13,3.395579363,3741.633093,0.958,0.344,0,0.9492,3e-04,2e-04,0,TRUE,40,36.5,5,0,0
"6","Australia","Oceania",0.628505932,0.389,0.501,0.413897581007277,0.256172855042887,0.329929563949836,0.137,0.965458628594262,10,0,0.036001665,0.020708647,0.035832422,0.038494086,0.035647801,0.032693817,0,0.024693446,0.034832379,0,0.03389387,0,0,0.036217058,0.033632321,0.03629398,0,0.037801742,0,0,0,0,0,0,0,0,0.035893966,0.025785805,0.030832191,0.032186099,0.033816947,0.03324769,0.88,0.33,0,0.8,1,0,1,0,1,0,0.5,1,1,0,1,0,0,0,0,-3.36559750219548,107,1.797239012,37468.94844,0.97,0.133,1,0.7163,0.017,0.0047,0.021,FALSE,0,32.9,10,0,0
"7","Austria","Europe",0.740388018,0.556,0.362,0.446450414477126,0.335265326307971,0.218284259214902,0.198,0.967812614119949,14,0,0,0.020708647,0.035832422,0.038494086,0.035647801,0,0,0,0.034832379,0,0.03389387,0.03703248,0,0.036217058,0.033632321,0.03629398,0.024154961,0.037801742,0.032678433,0.034616981,0.034001569,0.020077851,0,0.029985998,0,0.023554932,0.035893966,0.025785805,0,0.032186099,0.033816947,0.03324769,0.62,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,-3.43618064603861,63,0.876168945,43481.22452,0.969,0.103,0,0.7634,0.0452,0.001,0,FALSE,0,28.2,10,1,0
"8","Azerbaijan","Asia",0.518700866,0.556,0.354,0.363057710920433,0.389164739261801,0.247777549817766,0.13,0.211315530899204,66,1,0,0,0,0.038494086,0,0,0,0,0.034832379,0.036478606,0,0,0,0.036217058,0.033632321,0,0.024154961,0.037801742,0,0.034616981,0.034001569,0.020077851,0,0.029985998,0.023262612,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.88,0.33,0.33,0,1,0,0,0,1,0,0.5,0.5,0,0.5,0.5,1,0,1,1,-0.237388950542337,13,3.291211146,3307.213068,0.954,0.31,0,0.0272,0.96,0.0012,0,TRUE,39,23.3,-7,0,0
"9","Bahrain","Asia",0.208286536,0.556,0.522,0.161928567368601,0.432252056162392,0.405819376469008,0.258,0.555397980825201,43,1,0,0,0.035832422,0,0,0,0,0.024693446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020077851,0,0,0,0,0.035893966,0.025785805,0,0.032186099,0.033816947,0,0.88,0.67,0.67,0,1,1,0,0,1,0,1,0.5,0.5,0,1,0,0,1,1,-0.8105757359086,6,2.80016462,19699.67369,0.973,0.234,1,0.0986,0.8808,0,0,TRUE,0,NA,-7,0,0
"10","Bangladesh","Asia",0.632813828,0.889,0.518,0.310231168802529,0.435824087373527,0.253944743823945,0.161,0.700661662660745,46,1,0.036001665,0.020708647,0.035832422,0.038494086,0.035647801,0.032693817,0,0.024693446,0.034832379,0,0,0.03703248,0.026339678,0,0,0.03629398,0,0.037801742,0.032678433,0.034616981,0.034001569,0,0,0,0,0,0.035893966,0,0,0.032186099,0.033816947,0.03324769,0.88,0,0,0.8,1,0.5,1,0,1,0,1,1,1,1,1,0,1,1,1,-1.20618078231877,22,1.059529893,601.6744913,0.843,0.586,1,0.0014,0.8941,0,0.0055,TRUE,15,33.9,-6,0,0
