,country,year,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,abs_red,abs_red_se,rel_red,rel_red_se
1,Afghanistan,2008,30,2.1,30.9,2.6,NA,NA,NA,NA
2,Albania,2008,38.5,2.5,44,5,NA,NA,NA,NA
3,Algeria,2008,33.1,2.4,33.8,3,NA,NA,NA,NA
4,Andorra,2008,31.4,4.3,38.8,7,NA,NA,NA,NA
5,Angola,2008,47.2,2.1,48.4,2.4,NA,NA,NA,NA
6,Anguilla,2008,36.8,3.4,35.9,4.7,NA,NA,NA,NA
7,Argentina,2008,41.3,1.1,41.7,3.2,0.4,3.4,1,4.7
8,Armenia,2008,36.5,0.9,47.9,2.1,11.4,2.3,23.8,3.1
9,Australia,2008,32.9,0.8,47.9,1,15,1.3,31.3,1.6
10,Austria,2008,28.2,0.8,47.3,1.2,19.1,1.4,40.4,1.8
11,Azerbaijan,2008,23.3,1.9,31.5,2.7,NA,NA,NA,NA
12,Bahamas,2008,43.9,3.3,50.4,4.7,NA,NA,NA,NA
13,Bahrain,,,,,,,,,
14,Bangladesh,2008,33.9,1.8,36.5,2.2,NA,NA,NA,NA
15,Barbados,2008,46.6,3.9,45.6,5.1,NA,NA,NA,NA
16,Belarus,2008,24.4,1,29.8,1.5,NA,NA,NA,NA
17,Belgium,2008,25.7,0.7,37.8,1.5,12.1,1.7,32,2.3
18,Belize,2008,49.2,3.2,56.5,4.2,NA,NA,NA,NA
19,Benin,2008,44.6,1.6,45.3,2,NA,NA,NA,NA
20,Bhutan,2008,39.9,1.9,40.6,2.1,NA,NA,NA,NA
21,Bolivia,2008,47.6,1.1,46.7,2.8,-0.9,3,-1.9,4.1
22,Bosnia-Herzegovina,2008,39.7,2.5,46.4,5,NA,NA,NA,NA
23,Botswana,2008,59.1,2.9,58.7,2.2,NA,NA,NA,NA
24,Brazil,2008,47.2,0.5,56.1,0.7,8.9,0.9,15.9,1.1
25,Bulgaria,2008,32.6,1.4,36.4,3,3.8,3.3,10.4,4.5
26,Burkina Faso (Upper Volta),2008,40.7,1.9,41.1,2.2,NA,NA,NA,NA
27,Burundi,2008,36.6,2.3,37.2,2.7,NA,NA,NA,NA
28,Cambodia,2008,35.1,2.5,36,3.1,NA,NA,NA,NA
29,Cameroon,2008,43,2.1,43,2.4,NA,NA,NA,NA
30,Canada,2008,31,0.5,46.2,0.7,15.2,0.9,32.9,1.1
31,Cape Verde,2008,48.3,2,48.9,2.3,NA,NA,NA,NA
32,Central African Republic,2008,51,2.6,51.9,2.9,NA,NA,NA,NA
33,Chad,2008,41,2.4,41.5,2.8,NA,NA,NA,NA
34,Chile,2008,45.8,1,51.3,1.1,5.5,1.5,10.7,1.9
35,China,2008,43.2,1.2,45.6,1.8,2.4,2.2,5.3,2.8
36,Colombia,2008,51.1,0.9,52.9,1.2,1.8,1.5,3.4,1.9
37,Comoros,2008,53.5,2.9,54.1,3.4,NA,NA,NA,NA
38,Congo,2008,46.5,2.3,46.5,2.6,NA,NA,NA,NA
39,"Congo, Democratic Republic Of (Zaire)",2008,42.2,2.3,42.3,2.9,NA,NA,NA,NA
40,Costa Rica,2008,45.3,1,48.8,1.7,3.5,2,7.2,2.6
41,Cote D'Ivoire,2008,41.2,1.9,41.2,2.3,NA,NA,NA,NA
42,Croatia,2008,26.6,1.3,39,3.3,NA,NA,NA,NA
43,Cyprus,2008,29.4,1.9,51,3.5,NA,NA,NA,NA
44,Czech Republic,2008,25.2,0.7,44.5,1,19.3,1.2,43.4,1.6
45,Denmark,2008,24.7,0.6,45.1,0.9,20.4,1.1,45.2,1.4
46,Djibouti,2008,41.4,2.4,42.2,2.8,NA,NA,NA,NA
47,Dominica,2008,44.6,3.4,42.5,4.9,NA,NA,NA,NA
48,Dominican Republic,2008,46.5,1,52.5,1.6,6,1.9,11.4,2.5
49,Ecuador,2008,46,1.1,46.7,2.6,0.7,2.8,1.5,3.8
50,Egypt,2008,38.4,1.3,44,2,5.6,2.4,12.7,3.1
51,El Salvador,2008,42.1,1.1,49.3,2.2,7.2,2.5,14.6,3.3
52,Estonia,2008,32.1,0.8,46.2,1.1,14.1,1.4,30.5,1.8
